timestamp,m1_speed_baseband,m1_speed_am_demodulated,o7_valve_baseband,o7_valve_am_demodulated,o8_compressor_baseband,o8_compressor_am_demodulated,current_task_baseband,current_task_am_demodulated,current_task_duration_baseband,current_task_duration_am_demodulated,current_sub_task_baseband,current_sub_task_am_demodulated,i1_light_barrier_baseband,i1_light_barrier_am_demodulated,i3_light_barrier_baseband,i3_light_barrier_am_demodulated,i2_color_sensor_baseband,i2_color_sensor_am_demodulated,i6_light_barrier_baseband,i6_light_barrier_am_demodulated,i7_light_barrier_baseband,i7_light_barrier_am_demodulated,i8_light_barrier_baseband,i8_light_barrier_am_demodulated,o5_valve_baseband,o5_valve_am_demodulated,current_state_binary
2023-02-06 14:08:10,0.138512,0.403592,0.0,0.476926,0.151421,0.560116,0.0,0.443494,0.089556,0.557872,0.0,0.462561,0.0,0.459957,0.0,0.483758,0.873134,0.800718,0.0,0.450028,0.0,0.455913,0.0,0.442459,0.0,0.484468,1
2023-02-06 14:08:12,0.137691,0.552133,0.0,0.546362,0.151421,0.647833,0.0,0.506997,0.089556,0.643636,0.0,0.528472,0.0,0.525291,0.0,0.553399,0.875622,0.947193,0.0,0.519943,0.0,0.522204,0.0,0.506828,0.0,0.554877,1
2023-02-06 14:08:14,0.137094,0.474361,0.0,0.486022,0.151421,0.576705,0.0,0.453006,0.089556,0.572858,0.0,0.469506,0.0,0.466443,0.0,0.488241,0.879353,0.847194,0.0,0.460755,0.0,0.464072,0.0,0.45088,0.0,0.493479,1
2023-02-06 14:08:16,0.137837,0.600989,0.0,0.602942,0.151421,0.7069,0.0,0.559273,0.089556,0.705518,0.0,0.582926,0.0,0.579409,0.0,0.610573,0.875622,1.0,0.0,0.574649,0.0,0.576269,0.0,0.559309,0.0,0.612313,1
2023-02-06 14:08:18,0.139372,0.52006,0.0,0.561924,0.151421,0.653791,0.0,0.52324,0.089556,0.653978,0.0,0.543809,0.0,0.540495,0.0,0.566885,0.873134,0.906702,0.0,0.531541,0.0,0.536818,0.0,0.521307,0.0,0.570664,1
2023-02-06 14:08:20,0.139372,0.427802,0.0,0.508808,0.151421,0.594264,0.0,0.473094,0.089556,0.593182,0.0,0.493402,0.0,0.490614,0.0,0.516013,0.870647,0.834623,0.0,0.480371,0.0,0.486382,0.0,0.472034,0.0,0.516846,1
2023-02-06 14:08:22,0.136835,0.33947,0.0,0.456354,0.151421,0.535403,0.0,0.423752,0.089556,0.533033,0.0,0.443725,0.0,0.441447,0.0,0.46572,0.875622,0.765276,0.0,0.42934,0.0,0.436566,0.0,0.423377,0.0,0.463707,1
2023-02-06 14:08:24,0.134839,0.297177,0.0,0.433543,0.151421,0.506075,0.0,0.404562,0.089556,0.504261,0.0,0.422254,0.0,0.420037,0.0,0.440617,0.875622,0.717901,0.0,0.403568,0.0,0.414536,0.0,0.40226,0.0,0.440558,1
2023-02-06 14:08:26,0.137352,0.320015,0.0,0.447433,0.151421,0.524803,0.0,0.415084,0.089556,0.522236,0.0,0.435794,0.0,0.433679,0.0,0.458494,0.873134,0.750964,0.0,0.42009,0.0,0.428243,0.0,0.415099,0.0,0.454733,1
2023-02-06 14:08:28,0.142419,0.32093,0.0,0.435555,0.151421,0.512089,0.0,0.405913,0.089556,0.509217,0.0,0.42353,0.0,0.421223,0.0,0.442309,0.875622,0.740021,0.0,0.407571,0.0,0.416421,0.0,0.404105,0.0,0.442542,1
2023-02-06 14:08:30,0.142419,0.410112,0.0,0.495259,0.151421,0.579372,0.0,0.460522,0.089556,0.577892,0.0,0.480404,0.0,0.477709,0.0,0.50249,0.875622,0.820494,0.0,0.467243,0.0,0.473453,0.0,0.459467,0.0,0.503099,1
2023-02-06 14:08:32,0.134783,0.449031,0.0,0.512784,0.151421,0.6019,0.0,0.475918,0.089556,0.600253,0.0,0.496185,0.0,0.493324,0.0,0.519511,0.875622,0.85611,0.0,0.487462,0.0,0.490126,0.0,0.475698,0.0,0.520787,1
2023-02-06 14:08:34,0.12906,0.413533,0.0,0.47684,0.151421,0.563211,0.0,0.444354,0.089556,0.560478,0.0,0.460603,0.0,0.457709,0.0,0.478929,0.875622,0.817009,0.0,0.452113,0.0,0.455303,0.0,0.442387,0.0,0.484155,1
2023-02-06 14:08:36,0.135961,0.418642,0.0,0.477466,0.151421,0.566021,0.0,0.442503,0.089556,0.562759,0.0,0.46125,0.0,0.458578,0.0,0.483358,0.875622,0.825347,0.0,0.45625,0.0,0.456329,0.0,0.442921,0.0,0.484847,1
2023-02-06 14:08:38,0.149371,0.429299,0.0,0.493032,0.151421,0.578835,0.0,0.459112,0.089556,0.577099,0.0,0.476898,0.0,0.474022,0.0,0.496828,0.873134,0.825584,0.0,0.466704,0.0,0.470946,0.0,0.45741,0.0,0.500674,1
2023-02-06 14:08:40,0.149371,0.414956,0.0,0.494746,0.151421,0.579105,0.0,0.46002,0.089556,0.577566,0.0,0.479772,0.0,0.477067,0.0,0.501757,0.875622,0.820858,0.0,0.467076,0.0,0.472941,0.0,0.45899,0.0,0.502563,1
2023-02-06 14:08:42,0.130111,0.335831,0.0,0.445244,0.151421,0.525034,0.0,0.41349,0.089556,0.521678,0.0,0.432922,0.0,0.430629,0.0,0.454405,0.875622,0.762088,0.0,0.418882,0.0,0.425935,0.0,0.413055,0.0,0.452417,1
2023-02-06 14:08:44,0.115799,0.338866,0.0,0.462413,0.151421,0.540282,0.0,0.431465,0.089556,0.538198,0.0,0.4502,0.0,0.447662,0.0,0.469834,0.879353,0.768337,0.0,0.430898,0.0,0.442125,0.0,0.429024,0.0,0.469888,1
2023-02-06 14:08:46,0.133128,0.36817,0.0,0.482552,0.151421,0.563654,0.0,0.447877,0.089556,0.561825,0.0,0.46983,0.0,0.467405,0.0,0.494037,0.879353,0.797623,0.0,0.453206,0.0,0.461797,0.0,0.447656,0.0,0.490401,1
2023-02-06 14:08:48,0.167493,0.344328,0.0,0.443128,0.151421,0.521899,0.0,0.41292,0.089556,0.518675,0.0,0.430759,0.0,0.428308,0.0,0.44991,0.875622,0.756003,0.0,0.415026,0.0,0.42365,0.0,0.411117,0.0,0.450229,1
2023-02-06 14:08:50,0.167493,0.389365,0.0,0.461735,0.151421,0.544088,0.0,0.429387,0.089556,0.54124,0.0,0.447767,0.0,0.445237,0.0,0.468212,0.870647,0.783953,0.0,0.435774,0.0,0.441376,0.0,0.428366,0.0,0.46903,1
2023-02-06 14:08:52,0.111954,0.391981,0.0,0.450804,0.151421,0.534937,0.0,0.418233,0.089556,0.53135,0.0,0.436089,0.0,0.433671,0.0,0.456681,0.875622,0.78384,0.0,0.428966,0.0,0.430883,0.0,0.41821,0.0,0.457824,1
2023-02-06 14:08:54,0.064993,0.430408,0.0,0.472508,0.151421,0.557349,0.0,0.440194,0.089556,0.554938,0.0,0.456462,0.0,0.453713,0.0,0.47467,0.875622,0.805925,0.0,0.447988,0.0,0.451185,0.0,0.438391,0.0,0.479763,1
2023-02-06 14:08:56,0.136733,0.537892,0.0,0.516331,0.151421,0.605438,0.0,0.478617,0.089556,0.604399,0.0,0.499037,0.0,0.49633,0.0,0.522861,0.879353,0.85617,0.0,0.492736,0.0,0.493494,0.0,0.478999,0.0,0.524328,1
