timestamp,i1_pos_switch_baseband,i1_pos_switch_fm_demodulated,i2_pos_switch_baseband,i2_pos_switch_fm_demodulated,i3_pos_switch_baseband,i3_pos_switch_fm_demodulated,i4_light_barrier_baseband,i4_light_barrier_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,m3_speed_baseband,m3_speed_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,current_pos_x_baseband,current_pos_x_fm_demodulated,current_pos_y_baseband,current_pos_y_fm_demodulated,target_pos_x_baseband,target_pos_x_fm_demodulated,target_pos_y_baseband,target_pos_y_fm_demodulated,i7_light_barrier_baseband,i7_light_barrier_fm_demodulated,i8_color_sensor_baseband,i8_color_sensor_fm_demodulated,o7_compressor_level_baseband,o7_compressor_level_fm_demodulated,o8_valve_open_baseband,o8_valve_open_fm_demodulated,current_pos_z_baseband,current_pos_z_fm_demodulated,target_pos_z_baseband,target_pos_z_fm_demodulated,current_state_binary
2023-02-06 14:08:10,1.0,0.876531,1.0,1.0,1.0,0.747418,0.0,0.498052,0.10275,0.582528,0.074852,0.530131,0.049269,0.792441,0.0,0.502366,0.091528,0.618485,0.0,0.546571,0.054154,0.15782,0.113666,0.73914,0.084462,0.066221,0.15883,0.610492,0.0,0.48839,0.921435,0.778813,0.0,0.116077,0.0,0.461643,0.045554,0.350103,0.121469,0.658007,1
2023-02-06 14:08:12,1.0,0.782864,1.0,0.582716,1.0,0.714854,0.0,0.104828,0.102317,0.112177,0.07443,0.023231,0.048805,0.63183,0.0,0.097461,0.091528,0.029882,0.0,0.047897,0.054153,0.110304,0.113663,0.135724,0.084462,0.061935,0.15883,0.123834,0.0,0.34896,0.921435,0.964729,0.0,0.088915,0.0,0.202421,0.045554,0.199073,0.121469,0.144102,1
2023-02-06 14:08:14,1.0,0.821007,1.0,0.627456,1.0,0.726363,0.0,0.237542,0.102001,0.092287,0.074122,0.053372,0.048467,0.667074,0.0,0.21144,0.091528,0.066402,0.0,0.170781,0.054153,0.110666,0.113661,0.091201,0.084462,0.075146,0.15883,0.059782,0.0,0.400442,0.921435,0.9301,0.0,0.136185,0.0,0.296393,0.045554,0.256604,0.121469,0.087486,1
2023-02-06 14:08:16,1.0,0.829023,1.0,0.691649,1.0,0.78835,0.0,0.255798,0.102393,0.194146,0.074505,0.158692,0.048887,0.712423,0.0,0.22804,0.091528,0.238192,0.0,0.20989,0.054153,0.142742,0.113664,0.257077,0.084462,0.124956,0.15883,0.265044,0.0,0.438815,0.921435,0.792753,0.0,0.188661,0.0,0.343836,0.045554,0.338641,0.121469,0.220913,1
2023-02-06 14:08:18,1.0,0.736096,1.0,0.555265,1.0,0.673508,0.0,0.145045,0.103203,0.097523,0.075294,0.046448,0.049755,0.67503,0.0,0.134972,0.091528,0.114181,0.0,0.129132,0.054154,0.177872,0.113668,0.107759,0.084462,0.164581,0.15883,0.157009,0.0,0.429878,0.919496,0.780914,0.0,0.197486,0.0,0.300401,0.045554,0.319508,0.121469,0.108814,1
2023-02-06 14:08:20,1.0,0.734306,1.0,0.539056,1.0,0.637269,0.0,0.173023,0.103203,0.106726,0.075294,0.076601,0.049755,0.697926,0.0,0.140007,0.091528,0.195469,0.0,0.16241,0.054154,0.099826,0.113668,0.162961,0.084462,0.115914,0.15883,0.199506,0.0,0.416966,0.919496,0.872578,0.0,0.14183,0.0,0.294069,0.045554,0.327969,0.121469,0.137998,1
2023-02-06 14:08:22,1.0,0.903533,1.0,0.735863,1.0,0.863874,0.0,0.1144,0.101865,0.075923,0.073989,0.031187,0.048321,0.674894,0.0,0.111465,0.091528,0.151075,0.0,0.131501,0.054153,0.097026,0.113661,0.140635,0.084462,0.09601,0.15883,0.205212,0.0,0.426862,0.921435,0.888587,0.0,0.157508,0.0,0.27348,0.045554,0.302578,0.121469,0.119986,1
2023-02-06 14:08:24,1.0,0.861912,1.0,0.656363,1.0,0.775087,0.0,0.154106,0.100812,0.09815,0.072963,0.049433,0.047192,0.682514,0.0,0.174079,0.091528,0.124924,0.0,0.187483,0.054152,0.137286,0.113655,0.120307,0.084462,0.134879,0.15883,0.143477,0.0,0.448039,0.921435,0.833843,0.0,0.163155,0.0,0.289491,0.045554,0.3227,0.121469,0.118796,1
2023-02-06 14:08:26,1.0,0.571435,1.0,0.42436,1.0,0.490183,0.0,0.143382,0.102138,0.14839,0.074256,0.08918,0.048613,0.688975,0.0,0.196881,0.091528,0.182517,0.0,0.169162,0.054153,0.08667,0.113662,0.209524,0.084462,0.096946,0.15883,0.223306,0.0,0.412402,0.919496,0.819824,0.0,0.107194,0.0,0.248807,0.045554,0.301806,0.121469,0.189516,1
2023-02-06 14:08:28,1.0,0.28388,1.0,0.271262,1.0,0.300426,0.0,0.139729,0.10481,0.085523,0.076861,0.01394,0.051478,0.6608,0.0,0.364974,0.091528,0.071091,0.0,0.21549,0.054155,0.108799,0.113677,0.109165,0.084462,0.078847,0.15883,0.164431,0.0,0.560367,0.921435,0.839718,0.0,0.186492,0.0,0.308865,0.045554,0.270131,0.121469,0.114268,1
