timestamp,i1_pos_switch_baseband,i1_pos_switch_fm_demodulated,i2_pos_switch_baseband,i2_pos_switch_fm_demodulated,i3_pos_switch_baseband,i3_pos_switch_fm_demodulated,i4_light_barrier_baseband,i4_light_barrier_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,m3_speed_baseband,m3_speed_fm_demodulated,o7_valve_baseband,o7_valve_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,current_state_binary
2023-02-06 14:08:08,1.0,0.97576,0.0,0.381545,0.0,0.238732,0.0,0.873736,0.049043,0.13204,0.151421,0.620984,0.077135,0.040807,0.0,0.440324,0.129079,0.304912,0.0,0.381189,0.097206,0.574914,0.0,0.378365,1
2023-02-06 14:08:10,1.0,0.849234,0.0,0.017634,0.0,0.1579,0.0,0.224234,0.048495,0.037981,0.151421,0.122856,0.076274,0.0,0.0,0.292712,0.129079,0.13265,0.0,0.018575,0.097206,0.071342,0.0,0.114673,1
2023-02-06 14:08:12,1.0,0.843615,0.0,0.117592,0.0,0.210509,0.0,0.431506,0.048097,0.051612,0.151421,0.074023,0.075647,0.026014,0.0,0.389257,0.129079,0.112487,0.0,0.118318,0.097206,0.099003,0.0,0.196889,1
2023-02-06 14:08:14,1.0,0.766755,0.0,0.173606,0.0,0.261927,0.0,0.460725,0.048592,0.094984,0.151421,0.266658,0.076426,0.092276,0.0,0.483443,0.129079,0.156622,0.0,0.174084,0.097206,0.244838,0.0,0.222618,1
2023-02-06 14:08:16,1.0,0.679218,0.0,0.115119,0.0,0.259092,0.0,0.284187,0.049617,0.11993,0.151421,0.16957,0.078037,0.129412,0.0,0.478847,0.129079,0.159803,0.0,0.115943,0.097206,0.146871,0.0,0.153056,1
2023-02-06 14:08:18,1.0,0.738876,0.0,0.147397,0.0,0.238151,0.0,0.247471,0.049617,0.039726,0.151421,0.210623,0.078037,0.080726,0.0,0.438445,0.129079,0.131232,0.0,0.147349,0.097206,0.197031,0.0,0.111442,1
2023-02-06 14:08:20,1.0,0.831853,0.0,0.106721,0.0,0.24139,0.0,0.174035,0.047924,0.03683,0.151421,0.205975,0.075375,0.061469,0.0,0.444987,0.129079,0.103152,0.0,0.106985,0.097206,0.16115,0.0,0.085201,1
2023-02-06 14:08:22,1.0,0.793505,0.0,0.143795,0.0,0.260049,0.0,0.241177,0.046592,0.081195,0.151421,0.156672,0.073281,0.103086,0.0,0.47858,0.129079,0.153465,0.0,0.143618,0.097206,0.149202,0.0,0.116899,1
2023-02-06 14:08:24,1.0,0.720077,0.0,0.12145,0.0,0.226664,0.0,0.198433,0.048269,0.026021,0.151421,0.225579,0.075918,0.057096,0.0,0.417034,0.129079,0.160006,0.0,0.121257,0.097206,0.192413,0.0,0.088718,1
2023-02-06 14:08:26,1.0,0.737225,0.0,0.110948,0.0,0.241738,0.0,0.244928,0.051649,0.052245,0.151421,0.161169,0.081234,0.038393,0.0,0.446481,0.129079,0.1214,0.0,0.111468,0.097206,0.112174,0.0,0.121918,1
2023-02-06 14:08:28,1.0,0.793298,0.0,0.163288,0.0,0.261338,0.0,0.366479,0.051649,0.089578,0.151421,0.149154,0.081234,0.081384,0.0,0.481532,0.129079,0.150739,0.0,0.163512,0.097206,0.171571,0.0,0.17929,1
2023-02-06 14:08:30,1.0,0.780093,0.0,0.116282,0.0,0.238171,0.0,0.299606,0.046556,0.087368,0.151421,0.231834,0.073223,0.090882,0.0,0.440449,0.129079,0.167852,0.0,0.117132,0.097206,0.210461,0.0,0.148851,1
2023-02-06 14:08:32,1.0,0.760474,0.0,0.101533,0.0,0.215981,0.0,0.257581,0.042737,0.062445,0.151421,0.204063,0.067217,0.083141,0.0,0.399307,0.129079,0.163794,0.0,0.102401,0.097206,0.162552,0.0,0.122487,1
2023-02-06 14:08:34,1.0,0.762119,0.0,0.120249,0.0,0.228667,0.0,0.282527,0.047341,0.015059,0.151421,0.185635,0.074459,0.042595,0.0,0.42208,0.129079,0.115908,0.0,0.120943,0.097206,0.154568,0.0,0.135301,1
2023-02-06 14:08:36,1.0,0.76323,0.0,0.151524,0.0,0.274613,0.0,0.356819,0.056287,0.10193,0.151421,0.158511,0.088528,0.092108,0.0,0.507374,0.129079,0.079968,0.0,0.152195,0.097206,0.14505,0.0,0.181945,1
2023-02-06 14:08:38,1.0,0.778853,0.0,0.138018,0.0,0.242417,0.0,0.275201,0.056287,0.10413,0.151421,0.169,0.088528,0.139891,0.0,0.446212,0.129079,0.166181,0.0,0.138107,0.097206,0.194379,0.0,0.131532,1
2023-02-06 14:08:40,1.0,0.802561,0.0,0.108883,0.0,0.23093,0.0,0.206006,0.043439,0.011372,0.151421,0.219715,0.068321,0.042624,0.0,0.42593,0.129079,0.160896,0.0,0.108959,0.097206,0.169825,0.0,0.096917,1
2023-02-06 14:08:42,1.0,0.78405,0.0,0.169133,0.0,0.281645,0.0,0.338411,0.033891,0.090944,0.151421,0.151327,0.053304,0.052043,0.0,0.518418,0.129079,0.095913,0.0,0.168776,0.097206,0.117993,0.0,0.169378,1
2023-02-06 14:08:44,1.0,0.745019,0.0,0.134329,0.0,0.243177,0.0,0.25726,0.045451,0.103657,0.151421,0.156817,0.071486,0.11136,0.0,0.447403,0.129079,0.155522,0.0,0.134095,0.097206,0.193723,0.0,0.122826,1
