timestamp,i1_pos_switch_baseband,i1_pos_switch_am_demodulated,i2_pos_switch_baseband,i2_pos_switch_am_demodulated,i3_pos_switch_baseband,i3_pos_switch_am_demodulated,i4_light_barrier_baseband,i4_light_barrier_am_demodulated,m1_speed_baseband,m1_speed_am_demodulated,m2_speed_baseband,m2_speed_am_demodulated,m3_speed_baseband,m3_speed_am_demodulated,current_task_baseband,current_task_am_demodulated,current_task_duration_baseband,current_task_duration_am_demodulated,current_sub_task_baseband,current_sub_task_am_demodulated,current_pos_x_baseband,current_pos_x_am_demodulated,current_pos_y_baseband,current_pos_y_am_demodulated,target_pos_x_baseband,target_pos_x_am_demodulated,target_pos_y_baseband,target_pos_y_am_demodulated,i7_light_barrier_baseband,i7_light_barrier_am_demodulated,i8_color_sensor_baseband,i8_color_sensor_am_demodulated,o7_compressor_level_baseband,o7_compressor_level_am_demodulated,o8_valve_open_baseband,o8_valve_open_am_demodulated,current_pos_z_baseband,current_pos_z_am_demodulated,target_pos_z_baseband,target_pos_z_am_demodulated,current_state_binary
2023-02-06 14:08:10,1.0,0.780218,1.0,0.787595,1.0,0.769946,0.0,0.463569,0.10275,0.489381,0.074852,0.47718,0.049269,0.460151,0.0,0.447821,0.091528,0.515038,0.0,0.450384,0.054154,0.322252,0.113666,0.531853,0.084462,0.370947,0.15883,0.564503,0.0,0.453013,0.921435,0.79252,0.0,0.436456,0.0,0.281652,0.045554,0.48406,0.121469,0.518773,1
2023-02-06 14:08:12,1.0,0.941917,1.0,0.94061,1.0,0.936858,0.0,0.530479,0.102317,0.616877,0.07443,0.588671,0.048805,0.582256,0.0,0.502805,0.091528,0.581559,0.0,0.523807,0.054153,0.471238,0.113663,0.621505,0.084462,0.534625,0.15883,0.65783,0.0,0.515142,0.921435,0.946944,0.0,0.526115,0.0,0.440259,0.045554,0.573699,0.121469,0.613156,1
2023-02-06 14:08:14,1.0,0.838514,1.0,0.824516,1.0,0.803463,0.0,0.469194,0.102001,0.543923,0.074122,0.515603,0.048467,0.510348,0.0,0.454197,0.091528,0.513251,0.0,0.467206,0.054153,0.396083,0.113661,0.553105,0.084462,0.455868,0.15883,0.582698,0.0,0.443873,0.921435,0.84836,0.0,0.482969,0.0,0.368388,0.045554,0.507951,0.121469,0.543472,1
2023-02-06 14:08:16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.585261,0.102393,0.673634,0.074505,0.6429,0.048887,0.639835,0.0,0.548982,0.091528,0.636186,0.0,0.578738,0.054153,0.516455,0.113664,0.67946,0.084462,0.58528,0.15883,0.715064,0.0,0.565853,0.921435,1.0,0.0,0.589917,0.0,0.493636,0.045554,0.629184,0.121469,0.66866,1
2023-02-06 14:08:18,1.0,0.889363,1.0,0.88351,1.0,0.862447,0.0,0.544093,0.103203,0.603976,0.075294,0.581805,0.049755,0.573525,0.0,0.525481,0.091528,0.594544,0.0,0.535593,0.054154,0.434424,0.113668,0.626679,0.084462,0.49531,0.15883,0.659718,0.0,0.51755,0.919496,0.903223,0.0,0.544016,0.0,0.405662,0.045554,0.578397,0.121469,0.614209,1
2023-02-06 14:08:20,1.0,0.81671,1.0,0.823861,1.0,0.808037,0.0,0.494498,0.103203,0.522392,0.075294,0.510549,0.049755,0.492998,0.0,0.477265,0.091528,0.546826,0.0,0.480823,0.054154,0.337509,0.113668,0.5657,0.084462,0.389813,0.15883,0.599453,0.0,0.482726,0.919496,0.826866,0.0,0.468439,0.0,0.29318,0.045554,0.517147,0.121469,0.552361,1
2023-02-06 14:08:22,1.0,0.734709,1.0,0.754858,1.0,0.738467,0.0,0.445493,0.101865,0.443674,0.073989,0.442394,0.048321,0.414685,0.0,0.432839,0.091528,0.499712,0.0,0.426772,0.054153,0.246696,0.113661,0.505687,0.084462,0.289512,0.15883,0.540943,0.0,0.457544,0.921435,0.749006,0.0,0.384945,0.0,0.178106,0.045554,0.457606,0.121469,0.492106,1
2023-02-06 14:08:24,1.0,0.627356,1.0,0.633223,1.0,0.597943,0.0,0.422201,0.100812,0.406593,0.072963,0.411339,0.047192,0.378121,0.0,0.448243,0.091528,0.477483,0.0,0.405802,0.054152,0.205906,0.113655,0.476601,0.084462,0.24266,0.15883,0.512343,0.0,0.42592,0.921435,0.694882,0.0,0.342721,0.0,0.11599,0.045554,0.430422,0.121469,0.46309,1
2023-02-06 14:08:26,1.0,0.695583,1.0,0.725948,1.0,0.709291,0.0,0.43806,0.102138,0.427383,0.074256,0.430902,0.048613,0.397398,0.0,0.437029,0.091528,0.493734,0.0,0.418219,0.054153,0.22689,0.113662,0.494484,0.084462,0.265621,0.15883,0.532185,0.0,0.494709,0.919496,0.726337,0.0,0.33727,0.0,0.12734,0.045554,0.446975,0.121469,0.481351,1
2023-02-06 14:08:28,1.0,0.595747,1.0,0.598709,1.0,0.57797,0.0,0.423872,0.10481,0.423471,0.076861,0.421941,0.051478,0.393436,0.0,0.502905,0.091528,0.476871,0.0,0.42535,0.054155,0.228224,0.113677,0.483271,0.084462,0.269691,0.15883,0.517694,0.0,0.430305,0.921435,0.721358,0.0,0.356782,0.0,0.144301,0.045554,0.436326,0.121469,0.470047,1
2023-02-06 14:08:30,0.0,0.346197,0.0,0.34239,0.0,0.335319,0.0,0.481481,0.10481,0.505338,0.076861,0.495031,0.051478,0.476061,0.5,0.70763,0.091528,0.533664,0.15,0.539069,0.054155,0.31731,0.113677,0.550783,0.084462,0.367816,0.15883,0.584399,0.0,0.520933,0.923375,0.811603,0.0,0.458554,0.0,0.273896,0.045554,0.502375,0.121469,0.537396,0
