timestamp,i1_pos_switch_baseband,i1_pos_switch_am_demodulated,i2_pos_switch_baseband,i2_pos_switch_am_demodulated,i3_pos_switch_baseband,i3_pos_switch_am_demodulated,i4_light_barrier_baseband,i4_light_barrier_am_demodulated,m1_speed_baseband,m1_speed_am_demodulated,m2_speed_baseband,m2_speed_am_demodulated,m3_speed_baseband,m3_speed_am_demodulated,o7_valve_baseband,o7_valve_am_demodulated,o8_compressor_baseband,o8_compressor_am_demodulated,current_task_baseband,current_task_am_demodulated,current_task_duration_baseband,current_task_duration_am_demodulated,current_sub_task_baseband,current_sub_task_am_demodulated,current_state_binary
2023-02-06 14:08:08,1.0,0.853855,0.0,0.534156,0.0,0.418688,0.0,0.460662,0.049043,0.45393,0.151421,0.534468,0.077135,0.378511,0.0,0.541342,0.129079,0.48865,0.0,0.411441,0.097206,0.503724,0.0,0.423231,1.0
2023-02-06 14:08:10,1.0,0.899637,0.0,0.526152,0.0,0.40994,0.0,0.454624,0.048495,0.492104,0.151421,0.539312,0.076274,0.433817,0.0,0.532967,0.129079,0.511297,0.0,0.401176,0.097206,0.505539,0.0,0.414106,1.0
2023-02-06 14:08:12,1.0,0.691822,0.0,0.385358,0.0,0.301226,0.0,0.334375,0.048097,0.341108,0.151421,0.403552,0.075647,0.282783,0.0,0.394105,0.129079,0.391411,0.0,0.294341,0.097206,0.376845,0.0,0.304012,1.0
2023-02-06 14:08:14,1.0,0.979897,0.0,0.620429,0.0,0.483348,0.0,0.536096,0.048592,0.572341,0.151421,0.623,0.076426,0.502923,0.0,0.628435,0.129079,0.592705,0.0,0.472918,0.097206,0.587885,0.0,0.488187,1.0
2023-02-06 14:08:16,1.0,0.847867,0.0,0.557308,0.0,0.436688,0.0,0.482226,0.049617,0.487638,0.151421,0.55511,0.078037,0.412282,0.0,0.567991,0.129079,0.524879,0.0,0.428044,0.097206,0.52547,0.0,0.441063,1.0
2023-02-06 14:08:18,1.0,0.804193,0.0,0.512024,0.0,0.401092,0.0,0.442167,0.049617,0.436024,0.151421,0.51163,0.078037,0.362257,0.0,0.519952,0.129079,0.475344,0.0,0.393659,0.097206,0.483023,0.0,0.405295,1.0
2023-02-06 14:08:20,1.0,0.745666,0.0,0.457745,0.0,0.358528,0.0,0.394284,0.047924,0.374542,0.151421,0.459079,0.075375,0.302067,0.0,0.462781,0.129079,0.416397,0.0,0.352495,0.097206,0.432036,0.0,0.362494,1.0
2023-02-06 14:08:22,1.0,0.667923,0.0,0.417704,0.0,0.329838,0.0,0.360393,0.046592,0.324642,0.151421,0.417221,0.073281,0.249848,0.0,0.425766,0.129079,0.373012,0.0,0.325297,0.097206,0.393385,0.0,0.333642,1.0
2023-02-06 14:08:24,1.0,0.731789,0.0,0.448814,0.0,0.351509,0.0,0.385965,0.048269,0.361773,0.151421,0.448573,0.075918,0.289211,0.0,0.452538,0.129079,0.401193,0.0,0.345962,0.097206,0.422153,0.0,0.355507,1.0
2023-02-06 14:08:26,1.0,0.691157,0.0,0.413753,0.0,0.325636,0.0,0.357113,0.051649,0.334202,0.151421,0.418777,0.081234,0.264536,0.0,0.421086,0.129079,0.380015,0.0,0.320567,0.097206,0.39341,0.0,0.329304,1.0
2023-02-06 14:08:28,1.0,0.78559,0.0,0.493944,0.0,0.386932,0.0,0.42646,0.051649,0.419063,0.151421,0.494927,0.081234,0.346597,0.0,0.501421,0.129079,0.458705,0.0,0.379819,0.097206,0.46676,0.0,0.391007,1.0
2023-02-06 14:08:30,1.0,0.827781,0.0,0.512024,0.0,0.399355,0.0,0.442385,0.046556,0.447426,0.151421,0.516995,0.073223,0.377018,0.0,0.518897,0.129079,0.488713,0.0,0.390844,0.097206,0.486752,0.0,0.403242,1.0
2023-02-06 14:08:32,1.0,0.76579,0.0,0.449867,0.0,0.352216,0.0,0.390176,0.042737,0.39282,0.151421,0.463715,0.067217,0.326436,0.0,0.459876,0.129079,0.444822,0.0,0.344586,0.097206,0.434684,0.0,0.355617,1.0
2023-02-06 14:08:34,1.0,0.793447,0.0,0.458174,0.0,0.355935,0.0,0.396038,0.047341,0.406112,0.151421,0.472289,0.074459,0.342563,0.0,0.46346,0.129079,0.452365,0.0,0.347397,0.097206,0.441917,0.0,0.359116,1.0
2023-02-06 14:08:36,1.0,0.783984,0.0,0.480195,0.0,0.376124,0.0,0.415836,0.056287,0.42051,0.151421,0.487744,0.088528,0.352702,0.0,0.489752,0.129079,0.462285,0.0,0.368447,0.097206,0.458854,0.0,0.379882,1.0
2023-02-06 14:08:38,1.0,0.785787,0.0,0.492013,0.0,0.385332,0.0,0.424897,0.056287,0.421689,0.151421,0.493904,0.088528,0.350961,0.0,0.49958,0.129079,0.458875,0.0,0.378139,0.097206,0.465606,0.0,0.389357,1.0
2023-02-06 14:08:40,1.0,0.723196,0.0,0.427905,0.0,0.334903,0.0,0.368506,0.043439,0.349628,0.151421,0.433296,0.068321,0.280278,0.0,0.432444,0.129079,0.393906,0.0,0.329166,0.097206,0.406661,0.0,0.338561,1.0
2023-02-06 14:08:42,1.0,0.721856,0.0,0.4526,0.0,0.357022,0.0,0.390523,0.033891,0.359697,0.151421,0.451828,0.053304,0.283081,0.0,0.461133,0.129079,0.406283,0.0,0.352198,0.097206,0.426386,0.0,0.361403,1.0
2023-02-06 14:08:44,1.0,0.765837,0.0,0.485362,0.0,0.380059,0.0,0.417436,0.045451,0.394307,0.151421,0.481168,0.071486,0.318126,0.0,0.489714,0.129079,0.433089,0.0,0.373946,0.097206,0.454379,0.0,0.384281,1.0
2023-02-06 14:08:46,1.0,0.709569,0.0,0.421325,0.0,0.331293,0.0,0.363671,0.068375,0.351045,0.151421,0.427566,0.107541,0.284676,0.0,0.428624,0.129079,0.389492,0.0,0.326142,0.097206,0.401522,0.0,0.335172,1.0
2023-02-06 14:08:48,1.0,0.745492,0.0,0.444221,0.0,0.347791,0.0,0.383657,0.068375,0.387404,0.151421,0.451852,0.107541,0.324922,0.0,0.45103,0.129079,0.419748,0.0,0.341237,0.097206,0.424182,0.0,0.351428,1.0
2023-02-06 14:08:50,1.0,0.745465,0.0,0.424458,0.0,0.330607,0.0,0.366797,0.031326,0.379779,0.151421,0.438605,0.04927,0.322536,0.0,0.429868,0.129079,0.415381,0.0,0.323102,0.097206,0.409823,0.0,0.333577,1.0
2023-02-06 14:08:52,1.0,0.762669,0.0,0.451237,0.0,0.353512,0.0,0.391421,0.0,0.413888,0.151421,0.464191,0.0,0.356286,0.0,0.461266,0.129079,0.443594,0.0,0.345974,0.097206,0.43513,0.0,0.357008,1.0
2023-02-06 14:08:54,1.0,0.83055,0.0,0.517508,0.0,0.402934,0.0,0.44724,0.047856,0.516907,0.151421,0.52246,0.075269,0.472881,0.0,0.523999,0.129079,0.497349,0.0,0.393488,0.097206,0.491772,0.0,0.406326,1.0
2023-02-06 14:08:56,1.0,0.767481,0.0,0.462258,0.0,0.362137,0.0,0.400281,0.204424,0.540669,0.151421,0.471522,0.321519,0.533425,0.0,0.471284,0.129079,0.445392,0.0,0.35482,0.097206,0.44278,0.0,0.365813,1.0
2023-02-06 14:08:58,1.0,0.765726,0.0,0.468576,0.0,0.366967,0.0,0.404657,0.41205,0.635257,0.151421,0.47315,0.648075,0.66658,0.0,0.475779,0.129079,0.439252,0.0,0.360128,0.097206,0.445191,0.0,0.370817,1.0
2023-02-06 14:09:00,1.0,0.745119,0.0,0.453156,0.0,0.354629,0.0,0.390157,0.568617,0.684464,0.151421,0.45529,0.894325,0.744937,0.0,0.457959,0.129079,0.414505,0.0,0.348558,0.097206,0.428512,0.0,0.358459,1.0
