timestamp,i1_pos_switch_baseband,i1_pos_switch_original_bits,i1_pos_switch_ask_recovered,i2_pos_switch_baseband,i2_pos_switch_original_bits,i2_pos_switch_ask_recovered,i3_pos_switch_baseband,i3_pos_switch_original_bits,i3_pos_switch_ask_recovered,i4_light_barrier_baseband,i4_light_barrier_original_bits,i4_light_barrier_ask_recovered,m1_speed_baseband,m1_speed_original_bits,m1_speed_ask_recovered,m2_speed_baseband,m2_speed_original_bits,m2_speed_ask_recovered,m3_speed_baseband,m3_speed_original_bits,m3_speed_ask_recovered,current_task_baseband,current_task_original_bits,current_task_ask_recovered,current_task_duration_baseband,current_task_duration_original_bits,current_task_duration_ask_recovered,current_sub_task_baseband,current_sub_task_original_bits,current_sub_task_ask_recovered,current_pos_x_baseband,current_pos_x_original_bits,current_pos_x_ask_recovered,current_pos_y_baseband,current_pos_y_original_bits,current_pos_y_ask_recovered,target_pos_x_baseband,target_pos_x_original_bits,target_pos_x_ask_recovered,target_pos_y_baseband,target_pos_y_original_bits,target_pos_y_ask_recovered,i7_light_barrier_baseband,i7_light_barrier_original_bits,i7_light_barrier_ask_recovered,i8_color_sensor_baseband,i8_color_sensor_original_bits,i8_color_sensor_ask_recovered,o7_compressor_level_baseband,o7_compressor_level_original_bits,o7_compressor_level_ask_recovered,o8_valve_open_baseband,o8_valve_open_original_bits,o8_valve_open_ask_recovered,current_pos_z_baseband,current_pos_z_original_bits,current_pos_z_ask_recovered,target_pos_z_baseband,target_pos_z_original_bits,target_pos_z_ask_recovered,current_state_binary
2023-02-06 14:08:10,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.10275,0,0,0.074852,0,0,0.049269,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054154,0,0,0.113666,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.921435,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:12,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.102317,0,0,0.07443,0,0,0.048805,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054153,0,0,0.113663,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.921435,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:14,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.102001,0,0,0.074122,0,0,0.048467,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054153,0,0,0.113661,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.921435,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:16,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.102393,0,0,0.074505,0,0,0.048887,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054153,0,0,0.113664,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.921435,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:18,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.103203,0,0,0.075294,0,0,0.049755,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054154,0,0,0.113668,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.919496,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:20,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.103203,0,0,0.075294,0,0,0.049755,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054154,0,0,0.113668,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.919496,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:22,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.101865,0,0,0.073989,0,0,0.048321,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054153,0,0,0.113661,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.921435,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:24,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.100812,0,0,0.072963,0,0,0.047192,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054152,0,0,0.113655,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.921435,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:26,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.102138,0,0,0.074256,0,0,0.048613,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054153,0,0,0.113662,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.919496,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
2023-02-06 14:08:28,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.10481,0,0,0.076861,0,0,0.051478,0,0,0.0,0,0,0.091528,0,0,0.0,0,0,0.054155,0,0,0.113677,0,0,0.084462,0,0,0.15883,0,0,0.0,0,0,0.921435,1,1,0.0,0,0,0.0,0,0,0.045554,0,0,0.121469,0,0,1.0
