timestamp,i1_pos_switch_baseband,i1_pos_switch_am_demodulated,i2_pos_switch_baseband,i2_pos_switch_am_demodulated,m1_speed_baseband,m1_speed_am_demodulated,o7_valve_baseband,o7_valve_am_demodulated,o8_compressor_baseband,o8_compressor_am_demodulated,current_task_baseband,current_task_am_demodulated,current_task_duration_baseband,current_task_duration_am_demodulated,current_sub_task_baseband,current_sub_task_am_demodulated,i5_light_barrier_baseband,i5_light_barrier_am_demodulated,current_state_binary
2023-02-06 14:08:10,0.0,0.453583,0.0,0.47254,0.044159,0.497825,0.0,0.456861,0.151421,0.536923,0.0,0.431611,0.086602,0.540588,0.0,0.475712,0.0,0.462962,1.0
2023-02-06 14:08:12,0.0,0.518302,0.0,0.539295,0.043666,0.624175,0.0,0.517787,0.151421,0.620437,0.0,0.495277,0.086602,0.621112,0.0,0.54947,0.0,0.526108,1.0
2023-02-06 14:08:14,0.0,0.468509,0.0,0.474879,0.043307,0.544238,0.0,0.454548,0.151421,0.552062,0.0,0.438727,0.086602,0.551803,0.0,0.483541,0.0,0.47475,1.0
2023-02-06 14:08:16,0.0,0.571789,0.0,0.594727,0.043754,0.683554,0.0,0.570352,0.151421,0.676838,0.0,0.546722,0.086602,0.680497,0.0,0.607176,0.0,0.579778,1.0
2023-02-06 14:08:18,0.0,0.538565,0.0,0.552483,0.044676,0.615142,0.0,0.531264,0.151421,0.626203,0.0,0.507789,0.086602,0.631816,0.0,0.559531,0.0,0.547445,1.0
2023-02-06 14:08:20,0.0,0.483847,0.0,0.503953,0.044676,0.533457,0.0,0.487005,0.151421,0.569613,0.0,0.460497,0.086602,0.574708,0.0,0.507753,0.0,0.493744,1.0
2023-02-06 14:08:22,0.0,0.430222,0.0,0.456032,0.043152,0.45537,0.0,0.443582,0.151421,0.513741,0.0,0.41365,0.086602,0.518388,0.0,0.456044,0.0,0.441367,1.0
2023-02-06 14:08:24,0.0,0.413788,0.0,0.43205,0.041953,0.42031,0.0,0.421981,0.151421,0.48597,0.0,0.391312,0.086602,0.491697,0.0,0.426973,0.0,0.426197,1.0
2023-02-06 14:08:26,0.0,0.419277,0.0,0.449625,0.043463,0.441355,0.0,0.43912,0.151421,0.503955,0.0,0.405987,0.086602,0.509107,0.0,0.447759,0.0,0.431804,1.0
2023-02-06 14:08:28,0.0,0.415104,0.0,0.433095,0.046506,0.433034,0.0,0.421338,0.151421,0.491436,0.0,0.393527,0.086602,0.495264,0.0,0.431101,0.0,0.426125,1.0
2023-02-06 14:08:30,0.0,0.470849,0.0,0.490887,0.046506,0.516059,0.0,0.474749,0.151421,0.555406,0.0,0.448226,0.086602,0.560115,0.0,0.49402,0.0,0.480724,1.0
2023-02-06 14:08:32,0.0,0.48683,0.0,0.506298,0.04192,0.545128,0.0,0.486661,0.151421,0.576364,0.0,0.464712,0.086602,0.579724,0.0,0.514922,0.0,0.494392,1.0
